Bank_Txn_ID,Date,Vendor,Description,Amount,Check_ACH,Cleared_Flag,Match_Key,Duplicate_Payment,Duplicate_Payment_Flag,Invoice_Amount,no_matching_invoice,duplicate_payment,amount_mismatch,q90,unusual_vendor_payment,invoice_marked_paid_but_no_bank_txn,risk_score,risk_level
BTXN-00002,2025-05-11,Atlantic Fiber Co,Payment for INV2025-0002,-3126.35,ACH,True,Atlantic Fiber Co|-3126.35,1,OK,3126.35,False,False,True,-3453.1499999999987,True,False,40,Medium (20–40%)
BTXN-00006,2025-09-26,Atlantic Fiber Co,Payment for INV2025-0007,-1736.32,ACH,True,Atlantic Fiber Co|-1736.32,1,OK,,True,False,True,-3453.1499999999987,True,False,100,Critical (85–99%)
BTXN-00010,2025-11-20,Atlantic Fiber Co,Payment for INV2025-0014,-20125.99,ACH,True,Atlantic Fiber Co|-20125.99,1,OK,20125.99,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00015,2025-04-11,Atlantic Fiber Co,Payment for INV2025-0020,-19477.87,ACH,True,Atlantic Fiber Co|-19477.87,1,OK,19477.87,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00112,2025-05-13,Atlantic Fiber Co,Payment for INV2025-0142,-20280.52,ACH,True,Atlantic Fiber Co|-20280.52,1,OK,20280.52,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00115,2025-02-16,Atlantic Fiber Co,Payment for INV2025-0145,-16171.25,ACH,True,Atlantic Fiber Co|-16171.25,1,OK,16171.25,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00140,2025-06-17,Atlantic Fiber Co,Payment for INV2025-0179,-16564.27,ACH,True,Atlantic Fiber Co|-16564.27,1,OK,16564.27,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00147,2025-09-30,Atlantic Fiber Co,Payment for INV2025-0187,-24382.27,ACH,True,Atlantic Fiber Co|-24382.27,1,OK,24382.27,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00160,2025-08-01,Atlantic Fiber Co,Payment for INV2025-0205,-7301.5,ACH,True,Atlantic Fiber Co|-7301.5,1,OK,7301.5,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00172,2025-04-04,Atlantic Fiber Co,Payment for INV2025-0223,-2561.59,ACH,True,Atlantic Fiber Co|-2561.59,1,OK,2561.59,False,False,True,-3453.1499999999987,True,False,40,Medium (20–40%)
BTXN-00180,2025-12-26,Atlantic Fiber Co,Payment for INV2025-0232,-18700.42,ACH,True,Atlantic Fiber Co|-18700.42,1,OK,18700.42,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00181,2025-11-24,Atlantic Fiber Co,Payment for INV2025-0235,-26372.98,ACH,True,Atlantic Fiber Co|-26372.98,1,OK,,True,False,True,-3453.1499999999987,False,False,100,Critical (85–99%)
BTXN-00205,2025-03-25,Atlantic Fiber Co,Payment for INV2025-0266,-20198.39,ACH,True,Atlantic Fiber Co|-20198.39,1,OK,,True,False,True,-3453.1499999999987,False,False,100,Critical (85–99%)
BTXN-00240,2025-07-01,Atlantic Fiber Co,Payment for INV2025-0311,-12431.09,ACH,True,Atlantic Fiber Co|-12431.09,1,OK,12431.09,False,False,True,-3453.1499999999987,False,False,30,Medium (20–40%)
BTXN-00276,2025-06-05,Atlantic Fiber Co,Unmatched vendor payment,-4760.35,ACH,True,Atlantic Fiber Co|-4760.35,1,OK,,True,False,True,-3453.1499999999987,False,False,100,Critical (85–99%)
BTXN-00072,2025-06-17,Bay Area Rentals,Payment for INV2025-0089,-22930.63,ACH,True,Bay Area Rentals|-22930.63,1,OK,22930.63,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00087,2025-01-21,Bay Area Rentals,Payment for INV2025-0108,-26391.74,ACH,True,Bay Area Rentals|-26391.74,1,OK,,True,False,True,-4058.29,False,False,100,Critical (85–99%)
BTXN-00096,2025-06-06,Bay Area Rentals,Payment for INV2025-0118,-4062.83,ACH,True,Bay Area Rentals|-4062.83,1,OK,4062.83,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00128,2025-12-12,Bay Area Rentals,Payment for INV2025-0165,-4863.85,ACH,True,Bay Area Rentals|-4863.85,1,OK,4863.85,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00135,2025-12-02,Bay Area Rentals,Payment for INV2025-0174,-4058.29,ACH,True,Bay Area Rentals|-4058.29,1,OK,4058.29,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00156,2025-12-17,Bay Area Rentals,Payment for INV2025-0198,-17808.69,ACH,True,Bay Area Rentals|-17808.69,1,OK,17808.69,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00185,2025-07-02,Bay Area Rentals,Payment for INV2025-0240,-22998.69,ACH,True,Bay Area Rentals|-22998.69,1,OK,,True,False,True,-4058.29,False,False,100,Critical (85–99%)
BTXN-00190,2025-08-15,Bay Area Rentals,Payment for INV2025-0247,-25629.84,ACH,True,Bay Area Rentals|-25629.84,1,OK,25629.84,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00203,2025-08-11,Bay Area Rentals,Payment for INV2025-0263,-7282.32,ACH,True,Bay Area Rentals|-7282.32,1,OK,7282.32,False,False,True,-4058.29,False,False,30,Medium (20–40%)
BTXN-00259,2025-04-18,Bay Area Rentals,Payment for INV2025-0332,-16976.22,ACH,True,Bay Area Rentals|-16976.22,2,Duplicate Payment,,True,False,True,-4058.29,False,False,100,Critical (85–99%)
BTXN-00278,2025-12-26,Bay Area Rentals,Unmatched vendor payment,-7150.32,ACH,True,Bay Area Rentals|-7150.32,1,OK,,True,False,True,-4058.29,False,False,100,Critical (85–99%)
BTXN-00007,2025-11-02,BrightPower Partners,Payment for INV2025-0009,-944.64,ACH,True,BrightPower Partners|-944.64,1,OK,944.64,False,False,True,-4012.376000000003,True,False,40,Medium (20–40%)
BTXN-00009,2025-03-10,BrightPower Partners,Payment for INV2025-0011,-5958.22,ACH,True,BrightPower Partners|-5958.22,1,OK,5958.22,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00070,2025-09-02,BrightPower Partners,Payment for INV2025-0087,-8375.5,ACH,True,BrightPower Partners|-8375.5,1,OK,,True,False,True,-4012.376000000003,False,False,100,Critical (85–99%)
BTXN-00078,2025-09-07,BrightPower Partners,Payment for INV2025-0097,-20498.0,ACH,True,BrightPower Partners|-20498,1,OK,20498.0,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00097,2025-01-13,BrightPower Partners,Payment for INV2025-0119,-14610.84,ACH,True,BrightPower Partners|-14610.84,1,OK,14610.84,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00153,2025-09-06,BrightPower Partners,Payment for INV2025-0195,-13208.15,ACH,True,BrightPower Partners|-13208.15,1,OK,13208.15,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00161,2025-03-18,BrightPower Partners,Payment for INV2025-0206,-11215.08,ACH,True,BrightPower Partners|-11215.08,1,OK,11215.08,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00209,2025-05-12,BrightPower Partners,Payment for INV2025-0272,-4779.31,ACH,True,BrightPower Partners|-4779.31,1,OK,4779.31,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00247,2025-08-23,BrightPower Partners,Payment for INV2025-0319,-18604.18,ACH,True,BrightPower Partners|-18604.18,2,Duplicate Payment,18604.18,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00248,2025-08-24,BrightPower Partners,Duplicate payment for INV2025-0319,-18604.18,ACH,True,BrightPower Partners|-18604.18,2,Duplicate Payment,18604.18,False,False,True,-4012.376000000003,False,False,30,Medium (20–40%)
BTXN-00271,2025-05-06,BrightPower Partners,Payment for INV2025-0348,-15127.24,ACH,True,BrightPower Partners|-15127.24,1,OK,,True,False,True,-4012.376000000003,False,False,100,Critical (85–99%)
BTXN-00283,2025-07-15,BrightPower Partners,Unmatched vendor payment,-644.79,ACH,True,BrightPower Partners|-644.79,1,OK,,True,False,True,-4012.376000000003,True,False,100,Critical (85–99%)
BTXN-00013,2025-04-10,Florida Line Crew LLC,Payment for INV2025-0017,-19065.26,ACH,True,Florida Line Crew LLC|-19065.26,1,OK,19065.26,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00016,2025-09-02,Florida Line Crew LLC,Payment for INV2025-0021,-19322.59,ACH,True,Florida Line Crew LLC|-19322.59,1,OK,19322.59,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00030,2025-06-20,Florida Line Crew LLC,Payment for INV2025-0039,-6279.14,ACH,True,Florida Line Crew LLC|-6279.14,1,OK,6279.14,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00071,2025-08-08,Florida Line Crew LLC,Payment for INV2025-0088,-19716.59,ACH,True,Florida Line Crew LLC|-19716.59,1,OK,,True,False,True,-3329.306,False,False,100,Critical (85–99%)
BTXN-00118,2025-08-25,Florida Line Crew LLC,Payment for INV2025-0149,-725.67,ACH,True,Florida Line Crew LLC|-725.67,1,OK,725.67,False,False,True,-3329.306,True,False,40,Medium (20–40%)
BTXN-00151,2025-09-02,Florida Line Crew LLC,Payment for INV2025-0193,-12869.56,ACH,True,Florida Line Crew LLC|-12869.56,1,OK,12869.56,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00155,2025-12-13,Florida Line Crew LLC,Payment for INV2025-0197,-23948.71,ACH,True,Florida Line Crew LLC|-23948.71,1,OK,23948.71,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00215,2025-03-25,Florida Line Crew LLC,Payment for INV2025-0278,-5875.03,ACH,True,Florida Line Crew LLC|-5875.03,1,OK,5875.03,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00224,2025-05-02,Florida Line Crew LLC,Payment for INV2025-0290,-15269.03,ACH,True,Florida Line Crew LLC|-15269.03,1,OK,15269.03,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00225,2025-04-26,Florida Line Crew LLC,Payment for INV2025-0291,-3260.93,ACH,True,Florida Line Crew LLC|-3260.93,1,OK,3260.93,False,False,True,-3329.306,True,False,40,Medium (20–40%)
BTXN-00253,2025-08-02,Florida Line Crew LLC,Payment for INV2025-0324,-25416.28,ACH,True,Florida Line Crew LLC|-25416.28,1,OK,25416.28,False,False,True,-3329.306,False,False,30,Medium (20–40%)
BTXN-00268,2025-06-18,Florida Line Crew LLC,Payment for INV2025-0342,-7102.63,ACH,True,Florida Line Crew LLC|-7102.63,1,OK,,True,False,True,-3329.306,False,False,100,Critical (85–99%)
BTXN-00008,2025-09-29,Gulf Coast Telecom,Payment for INV2025-0010,-24372.83,ACH,True,Gulf Coast Telecom|-24372.83,1,OK,,True,False,True,-9191.08,False,False,100,Critical (85–99%)
BTXN-00051,2025-06-27,Gulf Coast Telecom,Payment for INV2025-0064,-9351.64,ACH,True,Gulf Coast Telecom|-9351.64,1,OK,9351.64,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00056,2025-11-27,Gulf Coast Telecom,Payment for INV2025-0070,-25830.14,ACH,True,Gulf Coast Telecom|-25830.14,1,OK,,True,False,True,-9191.08,False,False,100,Critical (85–99%)
BTXN-00065,2025-02-21,Gulf Coast Telecom,Payment for INV2025-0080,-17294.82,ACH,True,Gulf Coast Telecom|-17294.82,1,OK,17294.82,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00076,2025-05-06,Gulf Coast Telecom,Payment for INV2025-0094,-9150.94,ACH,True,Gulf Coast Telecom|-9150.94,1,OK,9150.94,False,False,True,-9191.08,True,False,40,Medium (20–40%)
BTXN-00086,2025-10-07,Gulf Coast Telecom,Payment for INV2025-0107,-2489.04,ACH,True,Gulf Coast Telecom|-2489.04,1,OK,,True,False,True,-9191.08,True,False,100,Critical (85–99%)
BTXN-00129,2025-04-16,Gulf Coast Telecom,Payment for INV2025-0166,-23420.85,ACH,True,Gulf Coast Telecom|-23420.85,1,OK,23420.85,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00130,2025-04-25,Gulf Coast Telecom,Payment for INV2025-0169,-14696.8,ACH,True,Gulf Coast Telecom|-14696.8,1,OK,14696.8,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00134,2025-02-09,Gulf Coast Telecom,Payment for INV2025-0173,-9413.86,ACH,True,Gulf Coast Telecom|-9413.86,1,OK,9413.86,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00186,2025-06-21,Gulf Coast Telecom,Payment for INV2025-0241,-24513.56,ACH,True,Gulf Coast Telecom|-24513.56,1,OK,,True,False,True,-9191.08,False,False,100,Critical (85–99%)
BTXN-00192,2025-11-03,Gulf Coast Telecom,Payment for INV2025-0249,-10922.49,ACH,True,Gulf Coast Telecom|-10922.49,1,OK,10922.49,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00211,2025-02-21,Gulf Coast Telecom,Payment for INV2025-0274,-25545.26,ACH,True,Gulf Coast Telecom|-25545.26,1,OK,25545.26,False,False,True,-9191.08,False,False,30,Medium (20–40%)
BTXN-00226,2025-01-21,Gulf Coast Telecom,Payment for INV2025-0292,-1897.43,ACH,True,Gulf Coast Telecom|-1897.43,1,OK,1897.43,False,False,True,-9191.08,True,False,40,Medium (20–40%)
BTXN-00262,2025-06-01,Gulf Coast Telecom,Payment for INV2025-0334,-16354.4,ACH,True,Gulf Coast Telecom|-16354.4,1,OK,,True,False,True,-9191.08,False,False,100,Critical (85–99%)
BTXN-00272,2025-06-23,Gulf Coast Telecom,Payment for INV2025-0349,-11697.71,ACH,True,Gulf Coast Telecom|-11697.71,1,OK,,True,False,True,-9191.08,False,False,100,Critical (85–99%)
BTXN-00049,2025-11-07,Peak Materials Supply,Payment for INV2025-0062,-7285.35,ACH,True,Peak Materials Supply|-7285.35,1,OK,7285.35,False,False,True,-7285.35,False,False,30,Medium (20–40%)
BTXN-00052,2025-10-08,Peak Materials Supply,Payment for INV2025-0065,-9094.82,ACH,True,Peak Materials Supply|-9094.82,1,OK,9094.82,False,False,True,-7285.35,False,False,30,Medium (20–40%)
BTXN-00058,2025-10-11,Peak Materials Supply,Payment for INV2025-0072,-18584.03,ACH,True,Peak Materials Supply|-18584.03,1,OK,,True,False,True,-7285.35,False,False,100,Critical (85–99%)
BTXN-00125,2025-04-13,Peak Materials Supply,Payment for INV2025-0160,-18400.6,ACH,True,Peak Materials Supply|-18400.6,2,Duplicate Payment,,True,False,True,-7285.35,False,False,100,Critical (85–99%)
BTXN-00126,2025-04-14,Peak Materials Supply,Duplicate payment for INV2025-0160,-18400.6,ACH,True,Peak Materials Supply|-18400.6,2,Duplicate Payment,,True,False,True,-7285.35,False,False,100,Critical (85–99%)
BTXN-00167,2025-11-03,Peak Materials Supply,Payment for INV2025-0217,-2313.31,ACH,True,Peak Materials Supply|-2313.31,1,OK,2313.31,False,False,True,-7285.35,True,False,40,Medium (20–40%)
BTXN-00202,2025-06-15,Peak Materials Supply,Payment for INV2025-0262,-19838.91,ACH,True,Peak Materials Supply|-19838.91,1,OK,19838.91,False,False,True,-7285.35,False,False,30,Medium (20–40%)
BTXN-00213,2025-10-23,Peak Materials Supply,Payment for INV2025-0276,-19525.75,ACH,True,Peak Materials Supply|-19525.75,1,OK,19525.75,False,False,True,-7285.35,False,False,30,Medium (20–40%)
BTXN-00216,2025-05-27,Peak Materials Supply,Payment for INV2025-0279,-14505.71,ACH,True,Peak Materials Supply|-14505.71,1,OK,14505.71,False,False,True,-7285.35,False,False,30,Medium (20–40%)
BTXN-00270,2025-09-17,Peak Materials Supply,Payment for INV2025-0347,-21243.26,ACH,True,Peak Materials Supply|-21243.26,1,OK,21243.26,False,False,True,-7285.35,False,False,30,Medium (20–40%)
BTXN-00017,2025-03-12,Skyline Engineering,Payment for INV2025-0023,-12875.36,ACH,True,Skyline Engineering|-12875.36,1,OK,12875.36,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00028,2025-10-27,Skyline Engineering,Payment for INV2025-0037,-26438.41,ACH,True,Skyline Engineering|-26438.41,1,OK,,True,False,True,-5188.448,False,False,100,Critical (85–99%)
BTXN-00042,2025-05-29,Skyline Engineering,Payment for INV2025-0056,-25281.28,ACH,True,Skyline Engineering|-25281.28,1,OK,25281.28,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00047,2025-12-29,Skyline Engineering,Payment for INV2025-0060,-7164.27,ACH,True,Skyline Engineering|-7164.27,1,OK,7164.27,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00057,2025-07-30,Skyline Engineering,Payment for INV2025-0071,-11955.35,ACH,True,Skyline Engineering|-11955.35,1,OK,,True,False,True,-5188.448,False,False,100,Critical (85–99%)
BTXN-00067,2025-09-22,Skyline Engineering,Payment for INV2025-0084,-18267.69,ACH,True,Skyline Engineering|-18267.69,1,OK,18267.69,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00081,2025-07-09,Skyline Engineering,Payment for INV2025-0101,-19099.97,ACH,True,Skyline Engineering|-19099.97,1,OK,19099.97,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00091,2025-04-07,Skyline Engineering,Payment for INV2025-0114,-25308.76,ACH,True,Skyline Engineering|-25308.76,1,OK,,True,False,True,-5188.448,False,False,100,Critical (85–99%)
BTXN-00102,2025-09-06,Skyline Engineering,Payment for INV2025-0126,-17376.68,ACH,True,Skyline Engineering|-17376.68,1,OK,17376.68,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00103,2025-08-14,Skyline Engineering,Payment for INV2025-0127,-9680.21,ACH,True,Skyline Engineering|-9680.21,1,OK,9680.21,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00119,2025-06-26,Skyline Engineering,Payment for INV2025-0151,-14218.31,ACH,True,Skyline Engineering|-14218.31,1,OK,14218.31,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00120,2025-04-27,Skyline Engineering,Payment for INV2025-0154,-15201.24,ACH,True,Skyline Engineering|-15201.24,1,OK,15201.24,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00170,2025-11-01,Skyline Engineering,Payment for INV2025-0220,-16059.57,ACH,True,Skyline Engineering|-16059.57,1,OK,16059.57,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00212,2025-12-30,Skyline Engineering,Payment for INV2025-0275,-17112.52,ACH,True,Skyline Engineering|-17112.52,1,OK,,True,False,True,-5188.448,False,False,100,Critical (85–99%)
BTXN-00221,2025-04-10,Skyline Engineering,Payment for INV2025-0287,-4290.48,ACH,True,Skyline Engineering|-4290.48,1,OK,4290.48,False,False,True,-5188.448,True,False,40,Medium (20–40%)
BTXN-00249,2025-12-05,Skyline Engineering,Payment for INV2025-0320,-12456.01,ACH,True,Skyline Engineering|-12456.01,1,OK,12456.01,False,False,True,-5188.448,False,False,30,Medium (20–40%)
BTXN-00037,2025-10-25,Sunline Electrical,Payment for INV2025-0050,-10094.59,ACH,True,Sunline Electrical|-10094.59,1,OK,10094.59,False,False,True,-1511.6259999999995,False,False,30,Medium (20–40%)
